gene	no_zero_mean	no_zero_max	binding	functional	ptmod	regulation	textmining	type	repetition	distance	nfams	ndisease_genes	ngenes	sre_file
PSME2P2	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
PCDHB14	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
WDR87	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
FAM111A	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
DONSON	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
ALKBH2	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
PRKAR2A-AS1	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
MIR26A1	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
GPATCH2	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
ASH1L	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
INPP4B	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
ATPAF2	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
CYB5R4	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
CLUL1	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
DISP2	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
SGPP1	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
AGA	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
C10orf140	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
FASTKD1	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
PKNOX2	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
ZNF788	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
KRBA1	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
MARC1	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
GALNS	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
CSAG4	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
PCDH8	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
TSSC1-IT1	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
CCDC104	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
ZNF385C	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
WDR83OS	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
GUSBP9	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
SRRM3	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
SNORD13	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
KIAA1257	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
SLC25A39	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
C16orf57	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
HIST1H2BO	1	1	NA	NA	0	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
RNF224	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
ZNF470	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
NSMCE4A	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
C4orf29	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
ADCK1	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
SETD6	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
C17orf100	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
ATP13A4	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
PNPLA3	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
TTLL8	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
FAM19A3	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
TMEM154	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
RHBDF2	1	1	NA	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
C11orf21	0.984848484848485	1	NA	0.96969696969697	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
HRH3	0.958201058201058	1	0.874603174603174	1	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
PENK	0.946581196581197	1	0.893162393162393	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
APOC2	0.93489380989381	1	0.86978761978762	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
NMUR1	0.933048433048433	1	0.866096866096866	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
RELN	0.929665242165242	1	0.859330484330484	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
RPL36A	0.922219219320669	1	0.827263718568066	0.93939393939394	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
SH3RF1	0.918995178610563	1	0.837990357221126	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
ZC3H12D	0.917582417582417	1	0.835164835164835	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
MAP4K3	0.914594664594665	1	0.829189329189329	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
RPS8	0.904622886506944	1	0.835080780732955	0.878787878787879	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
SLC6A4	0.904049654049654	1	0.808099308099308	NA	0	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
ZNF136	0.904049654049654	1	0.808099308099308	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
COL18A1	0.902938034188034	1	0.805876068376068	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
RNF41	0.902002681414446	1	0.804005362828892	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
PDZK1IP1	0.901471984805318	1	0.802943969610636	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
CAPNS1	0.898249898249898	1	0.796499796499796	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
MCM6	0.894877550433106	1	0.84624881291548	0.838383838383839	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
SPECC1L	0.892450142450142	1	0.784900284900285	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
SNAPC2	0.877795044461711	1	0.784900284900285	0.848484848484848	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
OR10H1	0.87591009813232	1	0.751820196264641	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
TRAF1	0.8663805330472	1	0.811262811262811	0.787878787878788	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
CLCN7	0.859487000494011	0.93939393939394	NA	0.93939393939394	NA	0.779580061594083	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
ITGAV	0.851236726236726	1	0.702473452473452	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
MARCH1	0.848484848484848	0.848484848484848	NA	0.848484848484848	NA	NA	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
ARHGAP20	0.84078884078884	0.84078884078884	0.84078884078884	NA	NA	NA	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
AAGAB	0.840010683760684	1	0.680021367521368	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
METTL1	0.838383838383838	0.838383838383838	NA	0.838383838383838	NA	NA	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
DCN	0.835232668566002	1	0.839031339031339	0.666666666666667	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
LSM11	0.828477078477078	1	0.656954156954157	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
KIAA0564	0.825374705809488	1	0.650749411618977	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
MXD3	0.824349784027203	1	0.648699568054406	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
SKIL	0.823940527065527	1	0.647881054131054	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
PEX5	0.823282684393795	1	0.646565368787591	NA	0	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
WBP4	0.822853072853073	1	0.645706145706145	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
FAM13B	0.816798941798941	0.816798941798941	0.816798941798941	NA	NA	NA	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
ARHGAP8	0.80479603464389	0.83091168091168	0.83091168091168	NA	NA	0.778680388376099	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
MICALL1	0.802943969610636	0.802943969610636	0.802943969610636	NA	NA	NA	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
YES1	0.802106709715405	1	0.814487444922228	0.393939393939394	1	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
MYBPC3	0.799663299663299	0.799663299663299	0.799663299663299	NA	NA	NA	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
CXorf36	0.797979797979798	0.797979797979798	NA	0.797979797979798	NA	NA	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
GRN	0.796425887575886	0.817378917378917	0.817378917378917	NA	NA	0.775472857772855	NA	TARGET	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
NSUN4	0.784900284900285	0.784900284900285	0.784900284900285	NA	NA	NA	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
CYP4A11	0.784900284900285	0.784900284900285	0.784900284900285	NA	NA	0	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
ME1	0.778680388376099	0.778680388376099	NA	NA	NA	0.778680388376099	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
ATP1B4	0.777777777777778	0.777777777777778	NA	0.777777777777778	NA	NA	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
GLDC	0.777777777777778	0.777777777777778	NA	0.777777777777778	NA	NA	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
C22orf32	0.776221281580279	0.776221281580279	NA	NA	NA	0.776221281580279	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
NAALADL1	0.771586811080462	0.771586811080462	NA	NA	NA	0.771586811080462	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
RRAGD	0.771586811080462	0.771586811080462	0	NA	NA	0.771586811080462	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
RET	0.76963776963777	1	0.808913308913309	NA	0.5	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
TRAK1	0.769178969178969	1	0.538357938357938	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
SNORD30	0.768052045445008	0.768052045445008	NA	NA	NA	0.768052045445008	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
PER1	0.768001787609631	1	0.804005362828892	NA	0.5	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
TUBGCP3	0.766293352748777	1	1	NA	NA	0.532586705497555	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
SYN2	0.765799015799015	0.814426314426314	0.814426314426314	0.717171717171717	NA	NA	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
IL12A	0.76511914011914	1	0.53023828023828	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
OR2M7	0.760541310541311	0.760541310541311	0.760541310541311	NA	NA	NA	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
OR1S1	0.760541310541311	0.760541310541311	0.760541310541311	NA	NA	NA	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
TAF6L	0.76028601028601	1	0.520572020572021	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
ZZEF1	0.755769230769231	1	0.511538461538461	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
PPP6R1	0.754218715757177	1	0.508437431514354	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
UBE2O	0.749835634451019	1	0.499671268902038	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
GLE1	0.747972824895902	1	0.495945649791804	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
PDE3B	0.74392212725546	1	0.481766381766382	NA	0.75	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
PRND	0.743138651471985	1	0.48627730294397	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
NUDT15	0.742450142450142	1	0.484900284900285	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
B4GALT5	0.741656491656492	1	0.483312983312983	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
NPC1	0.740883190883191	1	0.481766381766382	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
SUGP2	0.740808306025697	1	0.481616612051395	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
PIWIL1	0.740206552706553	1	0.480413105413105	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
BAZ2A	0.738258654925322	1	0.476517309850643	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
TM9SF4	0.734567901234568	1	0.469135802469136	NA	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
SETBP1	0.731006150755078	0.801139601139601	0.801139601139601	NA	NA	0.660872700370554	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
SPTA1	0.729961968058632	0.875	0.831298331298331	NA	0.875	0.483587572877565	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
PSMD10	0.720036907536908	1	0.811965811965811	0.818181818181818	0.25	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
SCUBE2	0.717020938392187	0.781086036328533	0.65295584045584	NA	NA	0.781086036328533	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
CGB1	0.713062482380029	0.776552315187408	0.64957264957265	NA	NA	0.776552315187408	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
NUMA1	0.712601441768108	1	0.825304325304325	NA	0.3125	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
TAGLN	0.707900777508621	1	0.487338696162226	0.636363636363636	NA	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
TP53BP1	0.684615384615385	1	0.803846153846154	NA	0.25	1	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
C9orf72	0.673844782870042	0.673844782870042	NA	NA	NA	0.673844782870042	NA	TARGET	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
DMRTB1	0.672771672771673	0.672771672771673	0.672771672771673	NA	NA	NA	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
LAG3	0.671110365238991	0.802943969610636	0.802943969610636	NA	NA	0.539276760867346	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
HTR2A	0.667980486622239	0.838783599653165	0.838783599653165	NA	NA	0.497177373591314	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
PURA	0.662962783254407	0.784900284900285	0.784900284900285	NA	NA	0.54102528160853	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
MIP	0.657700719012382	0.831813865147198	0.831813865147198	NA	NA	0.483587572877566	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
MAP4K4	0.65662298548579	0.799663299663299	0.799663299663299	NA	NA	0.513582671308281	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
CD84	0.655498971025553	0.909090909090909	0.512311762311762	0.909090909090909	NA	0.545094241673988	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
BBS2	0.654792996199433	0.784900284900285	0.784900284900285	NA	NA	0.524685707498582	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
PHACTR3	0.651505901505902	0.651505901505902	0.651505901505902	NA	NA	NA	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
PYGO2	0.64957264957265	0.64957264957265	0.64957264957265	NA	NA	NA	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
F10	0.64543747050336	0.801139601139601	0.801139601139601	NA	NA	0.489735339867119	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
BRD4	0.642417204359807	0.846061346061346	0.846061346061346	NA	0.3125	0.768690267018076	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
HSD17B7	0.64057889107892	0.778680388376099	0.502477393781741	NA	NA	0.778680388376099	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
SIGLEC5	0.64001603476286	0.771586811080462	0.508445258445258	NA	NA	0.771586811080462	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
THEMIS	0.635733180378177	0.787878787878788	NA	0.787878787878788	NA	0.483587572877565	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
ARNTL2	0.634962839462357	0.784828155365652	0.485097523559062	NA	NA	0.784828155365652	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
MTA3	0.634243928888925	0.784900284900285	0.784900284900285	NA	NA	0.483587572877565	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
ZC3H11A	0.634008038800653	0.78025003101173	0.487766046589576	NA	NA	0.78025003101173	NA	RANDOM	1	SP	3	3	100	work/SP__s10__f3__d3__g100__14_09_2012__18:30:53__/sre_sp.rdata
