gene	nfc_score	family
ANKRD53	0.4704	MGP44
REG3A	0.4704	MGP44
CHRNG	0.4704	MGP44
SLC26A6	0.4704	MGP44
NISCH	0.4704	MGP44
PTPRG	0.4704	MGP44
NPHP3-ACAD11	0.4704	MGP44
MSL2	0.4704	MGP44
ZBBX	0.4704	MGP44
DGKQ	0.4704	MGP44
EVC	0.4704	MGP44
PSAPL1	0.4704	MGP44
KLKB1	0.4704	MGP44
MTNR1A	0.4704	MGP44
C7	0.4704	MGP44
C6	0.4704	MGP44
MRPS30	0.4704	MGP44
FAM13B	0.4704	MGP44
NRM	0.4704	MGP44
AIM1	0.4704	MGP44
ZNF736	0.4704	MGP44
KIAA1797	0.4704	MGP44
ANXA2P2	0.4704	MGP44
PTGS1	0.4704	MGP44
C9orf139	0.4704	MGP44
PNPLA7	0.4704	MGP44
IDI2	0.4704	MGP44
NCRNA00168	0.4704	MGP44
LRRK2	0.4704	MGP44
KRT73	0.4704	MGP44
HNRNPA1P10	0.4704	MGP44
CCDC41	0.4704	MGP44
GJB2	0.4704	MGP44
IFT88	0.4704	MGP44
NID2	0.4704	MGP44
WDR72	0.4704	MGP44
LINS	0.4704	MGP44
SELS	0.4704	MGP44
TOX3	0.4704	MGP44
ZNF19	0.4704	MGP44
FA2H	0.4704	MGP44
C16orf61	0.4704	MGP44
CTU2	0.4704	MGP44
C16orf55	0.4704	MGP44
DNAH9	0.4704	MGP44
TTC19	0.4704	MGP44
BCKDHA	0.4704	MGP44
RPL13AP5	0.4704	MGP44
PEG3	0.4704	MGP44
DIP2A	0.4704	MGP44
ASMTL-AS1	0.4704	MGP44
CDKL5	0.4704	MGP44
CACNA1F	0.4704	MGP44
EMD	0.4076	inter
SDCBP	0.4076	inter
USP44	0.4076	inter
PRPSAP1	0.4076	inter
CDC20	0.2903	inter
COL7A1	0.2903	inter
